row_type,topic,k,eligible_topics,prediction_count,reference_count,matched_at_k,precision_at_k,recall_at_k,f1_at_k,hit_at_k
topic,d081a,2,1,5,17,1,0.5,0.058823529411764705,0.10526315789473684,1.0
topic,d081a,3,1,5,17,1,0.3333333333333333,0.058823529411764705,0.1,1.0
topic,d081a,4,1,5,17,1,0.25,0.058823529411764705,0.09523809523809523,1.0
topic,d081a,5,1,5,17,1,0.2,0.058823529411764705,0.0909090909090909,1.0
topic,d082a,1,1,7,12,1,1.0,0.08333333333333333,0.15384615384615385,1.0
topic,d082a,2,1,7,12,1,0.5,0.08333333333333333,0.14285714285714285,1.0
topic,d082a,3,1,7,12,1,0.3333333333333333,0.08333333333333333,0.13333333333333333,1.0
topic,d082a,4,1,7,12,1,0.25,0.08333333333333333,0.125,1.0
topic,d082a,5,1,7,12,1,0.2,0.08333333333333333,0.11764705882352941,1.0
topic,d082a,6,1,7,12,1,0.16666666666666666,0.08333333333333333,0.1111111111111111,1.0
topic,d082a,7,1,7,12,1,0.14285714285714285,0.08333333333333333,0.10526315789473685,1.0
topic,d083a,1,1,6,17,0,0.0,0.0,0.0,0.0
topic,d083a,2,1,6,17,0,0.0,0.0,0.0,0.0
topic,d083a,3,1,6,17,0,0.0,0.0,0.0,0.0
topic,d083a,4,1,6,17,0,0.0,0.0,0.0,0.0
topic,d083a,5,1,6,17,0,0.0,0.0,0.0,0.0
topic,d083a,6,1,6,17,0,0.0,0.0,0.0,0.0
topic,d087d,1,1,7,17,0,0.0,0.0,0.0,0.0
topic,d087d,2,1,7,17,1,0.5,0.058823529411764705,0.10526315789473684,1.0
topic,d087d,3,1,7,17,1,0.3333333333333333,0.058823529411764705,0.1,1.0
topic,d087d,4,1,7,17,1,0.25,0.058823529411764705,0.09523809523809523,1.0
topic,d087d,5,1,7,17,1,0.2,0.058823529411764705,0.0909090909090909,1.0
topic,d087d,6,1,7,17,1,0.16666666666666666,0.058823529411764705,0.08695652173913045,1.0
topic,d087d,7,1,7,17,1,0.14285714285714285,0.058823529411764705,0.08333333333333333,1.0
topic,d089d,1,1,7,18,0,0.0,0.0,0.0,0.0
topic,d089d,2,1,7,18,0,0.0,0.0,0.0,0.0
topic,d089d,3,1,7,18,0,0.0,0.0,0.0,0.0
topic,d089d,4,1,7,18,0,0.0,0.0,0.0,0.0
topic,d089d,5,1,7,18,0,0.0,0.0,0.0,0.0
topic,d089d,6,1,7,18,0,0.0,0.0,0.0,0.0
topic,d089d,7,1,7,18,0,0.0,0.0,0.0,0.0
topic,d091c,1,1,6,13,1,1.0,0.07692307692307693,0.14285714285714288,1.0
topic,d091c,2,1,6,13,1,0.5,0.07692307692307693,0.13333333333333336,1.0
topic,d091c,3,1,6,13,2,0.6666666666666666,0.15384615384615385,0.25,1.0
topic,d091c,4,1,6,13,2,0.5,0.15384615384615385,0.23529411764705882,1.0
topic,d091c,5,1,6,13,2,0.4,0.15384615384615385,0.2222222222222222,1.0
topic,d091c,6,1,6,13,2,0.3333333333333333,0.15384615384615385,0.21052631578947367,1.0
topic,d092c,1,1,9,19,0,0.0,0.0,0.0,0.0
topic,d092c,2,1,9,19,0,0.0,0.0,0.0,0.0
topic,d092c,3,1,9,19,0,0.0,0.0,0.0,0.0
topic,d092c,4,1,9,19,0,0.0,0.0,0.0,0.0
topic,d092c,5,1,9,19,0,0.0,0.0,0.0,0.0
topic,d092c,6,1,9,19,0,0.0,0.0,0.0,0.0
topic,d092c,7,1,9,19,0,0.0,0.0,0.0,0.0
topic,d092c,8,1,9,19,0,0.0,0.0,0.0,0.0
topic,d092c,9,1,9,19,0,0.0,0.0,0.0,0.0
topic,d093c,1,1,7,18,1,1.0,0.05555555555555555,0.10526315789473684,1.0
topic,d093c,2,1,7,18,1,0.5,0.05555555555555555,0.09999999999999999,1.0
topic,d093c,3,1,7,18,1,0.3333333333333333,0.05555555555555555,0.09523809523809525,1.0
topic,d093c,4,1,7,18,1,0.25,0.05555555555555555,0.0909090909090909,1.0
topic,d093c,5,1,7,18,1,0.2,0.05555555555555555,0.08695652173913045,1.0
topic,d093c,6,1,7,18,1,0.16666666666666666,0.05555555555555555,0.08333333333333333,1.0
topic,d093c,7,1,7,18,1,0.14285714285714285,0.05555555555555555,0.08,1.0
topic,d094c,1,1,5,10,1,1.0,0.1,0.18181818181818182,1.0
topic,d094c,2,1,5,10,1,0.5,0.1,0.16666666666666669,1.0
topic,d094c,3,1,5,10,2,0.6666666666666666,0.2,0.30769230769230765,1.0
topic,d094c,4,1,5,10,2,0.5,0.2,0.28571428571428575,1.0
topic,d094c,5,1,5,10,2,0.4,0.2,0.26666666666666666,1.0
topic,d095c,1,1,5,13,0,0.0,0.0,0.0,0.0
topic,d095c,2,1,5,13,0,0.0,0.0,0.0,0.0
topic,d095c,3,1,5,13,0,0.0,0.0,0.0,0.0
topic,d095c,4,1,5,13,1,0.25,0.07692307692307693,0.11764705882352941,1.0
topic,d095c,5,1,5,13,1,0.2,0.07692307692307693,0.1111111111111111,1.0
topic,d096c,1,1,10,15,0,0.0,0.0,0.0,0.0
topic,d096c,2,1,10,15,1,0.5,0.06666666666666667,0.11764705882352941,1.0
topic,d096c,3,1,10,15,1,0.3333333333333333,0.06666666666666667,0.1111111111111111,1.0
topic,d096c,4,1,10,15,1,0.25,0.06666666666666667,0.10526315789473685,1.0
topic,d096c,5,1,10,15,1,0.2,0.06666666666666667,0.1,1.0
topic,d096c,6,1,10,15,1,0.16666666666666666,0.06666666666666667,0.09523809523809522,1.0
topic,d096c,7,1,10,15,1,0.14285714285714285,0.06666666666666667,0.09090909090909091,1.0
topic,d096c,8,1,10,15,1,0.125,0.06666666666666667,0.08695652173913045,1.0
topic,d096c,9,1,10,15,1,0.1111111111111111,0.06666666666666667,0.08333333333333334,1.0
topic,d096c,10,1,10,15,1,0.1,0.06666666666666667,0.08,1.0
topic,d099e,1,1,6,20,0,0.0,0.0,0.0,0.0
topic,d099e,2,1,6,20,0,0.0,0.0,0.0,0.0
topic,d099e,3,1,6,20,0,0.0,0.0,0.0,0.0
topic,d099e,4,1,6,20,1,0.25,0.05,0.08333333333333334,1.0
topic,d099e,5,1,6,20,1,0.2,0.05,0.08000000000000002,1.0
topic,d099e,6,1,6,20,1,0.16666666666666666,0.05,0.07692307692307691,1.0
topic,d100e,1,1,11,10,0,0.0,0.0,0.0,0.0
topic,d100e,2,1,11,10,0,0.0,0.0,0.0,0.0
topic,d100e,3,1,11,10,0,0.0,0.0,0.0,0.0
topic,d100e,4,1,11,10,0,0.0,0.0,0.0,0.0
topic,d100e,5,1,11,10,0,0.0,0.0,0.0,0.0
topic,d100e,6,1,11,10,0,0.0,0.0,0.0,0.0
topic,d100e,7,1,11,10,0,0.0,0.0,0.0,0.0
topic,d100e,8,1,11,10,0,0.0,0.0,0.0,0.0
topic,d100e,9,1,11,10,0,0.0,0.0,0.0,0.0
topic,d100e,10,1,11,10,0,0.0,0.0,0.0,0.0
topic,d100e,11,1,11,10,0,0.0,0.0,0.0,0.0
topic,d101e,1,1,7,10,0,0.0,0.0,0.0,0.0
topic,d101e,2,1,7,10,0,0.0,0.0,0.0,0.0
topic,d101e,3,1,7,10,0,0.0,0.0,0.0,0.0
topic,d101e,4,1,7,10,0,0.0,0.0,0.0,0.0
topic,d101e,5,1,7,10,0,0.0,0.0,0.0,0.0
topic,d101e,6,1,7,10,0,0.0,0.0,0.0,0.0
topic,d101e,7,1,7,10,0,0.0,0.0,0.0,0.0
topic,d102e,1,1,9,16,0,0.0,0.0,0.0,0.0
topic,d102e,2,1,9,16,0,0.0,0.0,0.0,0.0
topic,d102e,3,1,9,16,0,0.0,0.0,0.0,0.0
topic,d102e,4,1,9,16,0,0.0,0.0,0.0,0.0
topic,d102e,5,1,9,16,0,0.0,0.0,0.0,0.0
topic,d102e,6,1,9,16,0,0.0,0.0,0.0,0.0
topic,d102e,7,1,9,16,0,0.0,0.0,0.0,0.0
topic,d102e,8,1,9,16,0,0.0,0.0,0.0,0.0
topic,d102e,9,1,9,16,0,0.0,0.0,0.0,0.0
topic,d103g,1,1,8,18,0,0.0,0.0,0.0,0.0
topic,d103g,2,1,8,18,0,0.0,0.0,0.0,0.0
topic,d103g,3,1,8,18,0,0.0,0.0,0.0,0.0
topic,d103g,4,1,8,18,0,0.0,0.0,0.0,0.0
topic,d103g,5,1,8,18,0,0.0,0.0,0.0,0.0
topic,d103g,6,1,8,18,0,0.0,0.0,0.0,0.0
topic,d103g,7,1,8,18,0,0.0,0.0,0.0,0.0
topic,d103g,8,1,8,18,0,0.0,0.0,0.0,0.0
topic,d105g,1,1,4,11,0,0.0,0.0,0.0,0.0
topic,d105g,2,1,4,11,0,0.0,0.0,0.0,0.0
topic,d105g,3,1,4,11,0,0.0,0.0,0.0,0.0
topic,d105g,4,1,4,11,0,0.0,0.0,0.0,0.0
topic,d107g,1,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,2,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,3,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,4,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,5,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,6,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,7,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,8,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,9,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,10,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,11,1,12,12,0,0.0,0.0,0.0,0.0
topic,d107g,12,1,12,12,0,0.0,0.0,0.0,0.0
topic,d109h,1,1,2,20,0,0.0,0.0,0.0,0.0
topic,d109h,2,1,2,20,0,0.0,0.0,0.0,0.0
topic,d110h,1,1,10,20,0,0.0,0.0,0.0,0.0
topic,d110h,2,1,10,20,0,0.0,0.0,0.0,0.0
topic,d110h,3,1,10,20,1,0.3333333333333333,0.05,0.08695652173913045,1.0
topic,d110h,4,1,10,20,1,0.25,0.05,0.08333333333333334,1.0
topic,d110h,5,1,10,20,2,0.4,0.1,0.16000000000000003,1.0
topic,d110h,6,1,10,20,2,0.3333333333333333,0.1,0.15384615384615383,1.0
topic,d110h,7,1,10,20,2,0.2857142857142857,0.1,0.14814814814814817,1.0
topic,d110h,8,1,10,20,2,0.25,0.1,0.14285714285714288,1.0
topic,d110h,9,1,10,20,2,0.2222222222222222,0.1,0.13793103448275865,1.0
topic,d110h,10,1,10,20,2,0.2,0.1,0.13333333333333333,1.0
topic,d111h,1,1,9,14,1,1.0,0.07142857142857142,0.13333333333333333,1.0
topic,d111h,2,1,9,14,1,0.5,0.07142857142857142,0.125,1.0
topic,d111h,3,1,9,14,1,0.3333333333333333,0.07142857142857142,0.11764705882352941,1.0
topic,d111h,4,1,9,14,1,0.25,0.07142857142857142,0.11111111111111112,1.0
topic,d111h,5,1,9,14,1,0.2,0.07142857142857142,0.10526315789473682,1.0
topic,d111h,6,1,9,14,1,0.16666666666666666,0.07142857142857142,0.1,1.0
topic,d111h,7,1,9,14,1,0.14285714285714285,0.07142857142857142,0.09523809523809523,1.0
topic,d111h,8,1,9,14,1,0.125,0.07142857142857142,0.09090909090909091,1.0
topic,d111h,9,1,9,14,1,0.1111111111111111,0.07142857142857142,0.08695652173913043,1.0
macro,ALL,1,34,,,,0.2647058823529412,0.018510477740353897,0.03451063293532789,0.2647058823529412
macro,ALL,2,34,,,,0.20588235294117646,0.027741900721549233,0.048704445658552385,0.38235294117647056
macro,ALL,3,33,,,,0.1818181818181818,0.037142522939736564,0.061278273240913506,0.45454545454545453
macro,ALL,4,33,,,,0.1590909090909091,0.04267217846939209,0.06677212622372257,0.5151515151515151
macro,ALL,5,30,,,,0.14000000000000004,0.04622511060204559,0.0688523452836281,0.5333333333333333
macro,ALL,6,25,,,,0.09333333333333334,0.03451890094769352,0.05008708128891195,0.44
macro,ALL,7,20,,,,0.07142857142857142,0.03017854071453142,0.042184725055434434,0.4
macro,ALL,8,12,,,,0.0625,0.02861319966583124,0.039072575304459366,0.3333333333333333
macro,ALL,9,11,,,,0.060606060606060615,0.03121439963545226,0.04100709385566957,0.36363636363636365
macro,ALL,10,5,,,,0.06000000000000001,0.03333333333333334,0.042666666666666665,0.4
macro,ALL,11,2,,,,0.0,0.0,0.0,0.0
macro,ALL,12,1,,,,0.0,0.0,0.0,0.0
